mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCCCCCC(=O)O ,OCC,-4.129906166,-4.094009603,0.035896778,0.035881378,C
CCCCCCCCCC(=O)O ,OCC,-3.987036168,-4.094009603,-0.10697317,-0.106567,C
CCCCCCCCCC(=O)O ,OCC,-4.015307649,-4.094009603,-0.07870197,-0.07853991,C
CCCCCCCCCC(=O)O ,OCC,-3.955171516,-4.094009603,-0.13883781,-0.13795254,C
CCCCCCCCCC(=O)O ,OCC,-3.946364215,-4.094009603,-0.14764524,-0.14658166,C
CCCCCCCCCC(=O)O ,OCC,-4.087811217,-4.094009603,-0.006198406,-0.0061982875,O
CCCCCCCCCC(=O)O ,OCC,-4.113870234,-4.094009603,0.019860744,0.01985811,O
CCCCCCCCCC(=O)O ,OCC,-3.508938461,-4.094009603,-0.58507085,-0.5263413,CCCCCCCCCC(=O)O
CCCCCCCCCCCCO,OCC,-4.24037366,-4.214744396,0.025629044,0.02562346,C
CCCCCCCCCCCCO,OCC,-4.255416613,-4.214744396,0.040671825,0.040649407,C
CCCCCCCCCCCCO,OCC,-3.92161983,-4.214744396,-0.29312468,-0.28500822,C
CCCCCCCCCCCCO,OCC,-4.088075782,-4.214744396,-0.12666893,-0.1259958,C
CCCCCCCCCCCCO,OCC,-4.140586568,-4.214744396,-0.07415819,-0.07402254,C
CCCCCCCCCCCCO,OCC,-4.113738084,-4.214744396,-0.10100651,-0.10066438,C
CCCCCCCCCCCCO,OCC,-4.105294197,-4.214744396,-0.10945034,-0.1090154,C
CCCCCCCCCCCCO,OCC,-4.119907397,-4.214744396,-0.09483719,-0.09455387,C
CCCCCCCCCCCCO,OCC,-4.108721916,-4.214744396,-0.106022835,-0.10562736,C
CCCCCCCCCCCCO,OCC,-4.125973368,-4.214744396,-0.08877134,-0.08853891,C
CCCCCCCCCCCCO,OCC,-4.090383394,-4.214744396,-0.12436104,-0.123723835,C
CCCCCCCCCCCCO,OCC,-3.966158507,-4.214744396,-0.24858618,-0.24358918,C
CCCCCCCCCCCCO,OCC,-4.177764727,-4.214744396,-0.036979675,-0.036962833,O
CCCCCCCCCCCCO,OCC,-3.177146665,-4.214744396,-1.0375979,-0.7769377,CCCCCCCCCCCCO
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.845580708,-3.914317723,-0.06873679,-0.06862875,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.960055533,-3.914317723,0.04573798,0.045706138,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.874034028,-3.914317723,-0.04028368,-0.040261913,C
CC1(C2CCC1(C(=O)C2)C)C,OCC,-3.831974231,-3.914317723,-0.08234334,-0.08215772,C
